codigo_municipio,municipio,grupo,variable,mes,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
20201,ACHACACHI,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
30201,AIQUILE,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,2,0,2,0,0,0,4,0,4
30402,ANZALDO,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,2,0,0,0,2,0,2
30501,ARANI,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,2,0,0,0,2,0,2
20502,AYATA,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
20905,CAIROMA,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
21003,CAJUATA,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
30701,CAPINOTA,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
22001,CARANAVI,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
30801,CLIZA,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,4,0,0,0,4,0,4
30101,COCHABAMBA,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,1,0,4,0,0,0,5,0,5
31002,COLOMI,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
20301,CORO CORO,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
20105,EL ALTO,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,1,0,9,0,0,0,10,0,10
21601,GRAL. J.J. PEREZ (CHARAZANI),infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,2,0,0,0,2,0,2
21001,INQUISIVI,infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
21102,IRUPANA (VILLA DE LANZA),infecciones de transmision sexual,its hombre con ulcera genital,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
