codigo_municipio,municipio,grupo,variable,mes,dentro de establecimientos hombres,dentro de establecimientos mujeres,fuera de establecimientos hombres,fuera de establecimientos mujeres,hombres total,mujeres total,total
70401,BUENA VISTA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,0,1,0,1,1
10701,CAMARGO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
70706,CAMIRI,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,1,1,0,0,1,1,2
70702,CHARAGUA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
90101,COBIJA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,3,0,0,0,3,0,3
30101,COCHABAMBA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,6,2,0,0,6,2,8
40401,CURAHUARA DE CARANGAS,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
20105,EL ALTO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,5,1,1,0,6,1,7
80202,GUAYARAMERIN,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,2,0,0,0,2,2
10304,ICLA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,1,0,1,0,1
20101,LA PAZ,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,13,6,0,1,13,7,20
50203,LLALLAGUA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
11003,MACHARETI,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,0,1,0,1,1
80801,MAGDALENA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
10501,MONTEAGUDO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
71001,MONTERO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,3,0,1,0,4,0,4
40101,ORURO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,6,3,0,0,6,3,9
