codigo_municipio,municipio,grupo,variable,mes,hombres total,mujeres total,hombres total.1,mujeres total.1,total
51302,ACACIO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,12,202,12,202,214
20201,ACHACACHI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,31,272,31,272,303
20104,ACHOCALLA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,10,0,10,10
30201,AIQUILE,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,21,64,21,64,85
31303,ALALAY,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,16,3,16,3,19
10404,ALCALA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,6,94,6,94,100
20202,ANCORAIMES,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,25,276,25,276,301
41201,ANDAMARCA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,6,16,6,16,22
40603,ANTEQUERA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,5,27,5,27,32
20701,APOLO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,27,2,27,2,29
51301,ARAMPAMPA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,3,10,3,10,13
30501,ARANI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,15,122,15,122,137
30601,ARQUE,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,2,1,2,1,3
71501,ASCENCION DE GUARAYOS,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,42,0,42,42
50802,ATOCHA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,15,0,15,15
20503,AUCAPATA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,29,6,29,6,35
30301,AYOPAYA (V. DE INDEPENDENCIA),estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,15,146,15,146,161
10201,AZURDUY,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,14,137,14,137,151
21203,BATALLAS,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,16,29,16,29,45
80802,BAURES,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,2,137,2,137,139
41202,BELEN DE ANDAMARCA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,2,13,2,13,15
50104,BELEN DE URMIRI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,8,22,8,22,30
90104,BELLA FLOR,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,11,42,11,42,53
60202,BERMEJO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,28,203,28,203,231
50301,BETANZOS,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,72,493,72,493,565
31501,BOLIVAR,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,4,68,4,68,72
90103,BOLPEBRA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,28,0,28,28
70707,BOYUIBE,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,4,36,4,36,40
70703,CABEZAS,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,75,95,75,95,170
20905,CAIROMA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,51,20,51,20,71
51102,"CAIZA ""D""",estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,62,0,62,62
21003,CAJUATA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,6,107,6,107,113
20303,CALACOTO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,2,10,2,10,12
21304,CALAMARCA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,8,66,8,66,74
10701,CAMARGO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,13,173,13,173,186
10901,CAMATAQUI (C. VILLA ABECIA),estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,64,0,64,64
70706,CAMIRI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,28,723,28,723,751
30701,CAPINOTA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,47,126,47,126,173
20302,CAQUIAVIRI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,7,63,7,63,70
40102,CARACOLLO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,7,145,7,145,152
22001,CARANAVI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,27,320,27,320,347
60302,CARAPARI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,27,184,27,184,211
50702,CARIPUYO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,5,49,5,49,54
21902,CATACORA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,4,0,4,4
40201,CHALLAPATA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,13,104,13,104,117
50302,CHAQUI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,13,177,13,177,190
70702,CHARAGUA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,193,353,193,353,546
20305,CHARAÑA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,9,7,9,7,16
50202,CHAYANTA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,36,207,36,207,243
31204,CHIMORE,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,6,110,6,110,116
40903,CHIPAYA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,4,11,4,11,15
21101,CHULUMANI (V. DE LA LIBERTAD),estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,11,82,11,82,93
20501,CHUMA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,2,36,2,36,38
90101,COBIJA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,30,296,30,296,326
30101,COCHABAMBA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,993,1414,993,1414,2407
30905,COLCAPIRHUA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,34,250,34,250,284
50901,"COLCHA ""K""",estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,13,145,13,145,158
31002,COLOMI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,19,107,19,107,126
70603,COLPA BELGICA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,22,19,22,19,41
50401,COLQUECHACA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,29,189,29,189,218
21306,COLQUENCHA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,6,53,6,53,59
21004,COLQUIRI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,28,349,28,349,377
20304,COMANCHE,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,21,0,21,21
71301,COMARAPA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,1,59,1,59,60
20605,COMBAYA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,2,54,2,54,56
71101,CONCEPCION,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,88,0,88,0,88
21701,COPACABANA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,12,103,12,103,115
21402,CORIPATA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,1,12,1,12,13
20301,CORO CORO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,10,54,10,54,64
21401,COROICO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,8,32,8,32,40
40301,CORQUE,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,9,40,9,40,49
50601,COTAGAITA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,9,115,9,115,124
31405,CUCHUMUELA (V. G. VILLARROEL),estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,3,0,3,0,3
70704,CUEVO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,48,171,48,171,219
10902,CULPINA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,25,322,25,322,347
40401,CURAHUARA DE CARANGAS,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,34,0,34,34
21602,CURVA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,11,0,11,11
20804,DESAGUADERO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,12,45,12,45,57
20105,EL ALTO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,758,3318,758,3318,4076
40103,EL CHORO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,2,1,2,1,3
71503,EL PUENTE(STC),estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,5,185,5,185,190
60502,EL PUENTE(TJA),estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,11,146,11,146,157
70105,EL TORNO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,71,285,71,285,356
10405,EL VILLAR,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,35,219,35,219,254
60601,ENTRE RIOS,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,27,268,27,268,295
41101,EUCALIPTUS,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,11,47,11,47,58
80402,EXALTACION,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,4,0,4,0,4
90203,FILADELFIA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,3,14,3,14,17
71002,GENERAL SAAVEDRA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,204,280,204,280,484
21601,GRAL. J.J. PEREZ (CHARAZANI),estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,26,0,26,26
20602,GUANAY,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,39,97,39,97,136
20802,GUAQUI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,4,15,4,15,19
80202,GUAYARAMERIN,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,73,415,73,415,488
70705,GUTIERREZ,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,42,430,42,430,472
10502,HUACARETA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,20,381,20,381,401
11002,HUACAYA (VILLA DE HUACAYA),estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,11,15,11,15,26
40501,HUACHACALLA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,3,13,3,13,16
40701,HUANUNI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,34,102,34,102,136
80803,HUARACAJE,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,1,34,1,34,35
41601,HUAYLLAMARCA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,20,19,20,19,39
21005,ICHOCA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,6,90,6,90,96
10304,ICLA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,39,338,39,338,377
10703,INCAHUASI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,13,210,13,210,223
21001,INQUISIVI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,2,246,2,246,248
21102,IRUPANA (VILLA DE LANZA),estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,10,202,10,202,212
21501,IXIAMAS,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,3,15,3,15,18
21105,LA ASUNTA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,11,82,11,82,93
70104,LA GUARDIA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,116,884,116,884,1000
20101,LA PAZ,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,497,2390,497,2390,2887
41501,LA RIVERA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,5,0,5,5
70701,LAGUNILLAS,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,19,127,19,127,146
21202,LAJA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,2,53,2,53,55
10903,LAS CARRERAS,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,14,178,14,178,192
21006,LICOMA PAMPA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,3,47,3,47,50
50203,LLALLAGUA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,7,38,7,38,45
51401,LLICA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,7,65,7,65,72
80601,LORETO,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,0,37,0,37,37
40702,MACHACAMARCA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,4,49,4,49,53
11003,MACHARETI,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,29,389,29,389,418
80801,MAGDALENA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,18,99,18,99,117
70903,MAIRANA,estado nutricional en menores de 5 anos,clasificacion c,2001-01-01,30,127,30,127,157
