codigo_municipio,municipio,grupo,variable,mes,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
51302,ACACIO,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,12,0,3,0,15,0,15
20201,ACHACACHI,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,1,0,4,0,4,0,36,0,9,0,54,0,54
20104,ACHOCALLA,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,1,0,2,0,3,0,3
30201,AIQUILE,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,1,0,1,0,2,0,15,0,6,0,25,0,25
31303,ALALAY,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,0,0,1,0,1,0,1
10404,ALCALA,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,1,0,6,0,3,0,10,0,10
20202,ANCORAIMES,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,16,0,3,0,19,0,19
41201,ANDAMARCA,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,6,0,0,0,6,0,6
40603,ANTEQUERA,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,5,0,0,0,5,0,5
30402,ANZALDO,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,1,0,2,0,10,0,10,0,23,0,23
20701,APOLO,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,1,0,0,0,8,0,1,0,10,0,10
51301,ARAMPAMPA,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,1,0,6,0,0,0,7,0,7
30501,ARANI,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,5,0,16,0,5,0,26,0,26
30403,ARBIETO,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,1,0,2,0,3,0,3
30601,ARQUE,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,24,0,7,0,31,0,31
71501,ASCENCION DE GUARAYOS,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,2,0,8,0,1,0,11,0,11
50802,ATOCHA,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,1,0,15,0,175,0,29,0,220,0,220
20503,AUCAPATA,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,1,0,1,0,28,0,6,0,36,0,36
20502,AYATA,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,9,0,2,0,11,0,11
21303,AYO AYO,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,2,0,5,0,4,0,11,0,11
30301,AYOPAYA (V. DE INDEPENDENCIA),clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,1,0,1,0,30,0,5,0,37,0,37
10201,AZURDUY,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,20,0,1,0,21,0,21
21203,BATALLAS,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,1,0,0,0,15,0,3,0,19,0,19
80802,BAURES,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,5,0,6,0,3,0,14,0,14
41202,BELEN DE ANDAMARCA,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,0,0,0,0,1,0,1,0,2,0,2
60202,BERMEJO,clasificacion general sistemica,enfermedades del sistema nervioso,2002-01-01,0,0,1,0,6,0,78,0,11,0,96,0,96
