codigo_municipio,municipio,grupo,variable,mes,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
50301,BETANZOS,sospecha diagnostica,rubeola,2004-01-01,1,0,0,0,0,1
30101,COCHABAMBA,sospecha diagnostica,rubeola,2004-01-01,1,0,0,0,0,1
20105,EL ALTO,sospecha diagnostica,rubeola,2004-01-01,1,0,0,0,0,1
80601,LORETO,sospecha diagnostica,rubeola,2004-01-01,0,0,0,1,0,1
40101,ORURO,sospecha diagnostica,rubeola,2004-01-01,0,1,1,0,0,2
60501,SAN LORENZO(TJA),sospecha diagnostica,rubeola,2004-01-01,1,0,0,0,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rubeola,2004-01-01,0,1,0,0,0,1
80101,TRINIDAD,sospecha diagnostica,rubeola,2004-01-01,0,0,1,0,0,1
30101,COCHABAMBA,sospecha diagnostica,rubeola,2004-02-01,0,1,1,0,0,2
60502,EL PUENTE(TJA),sospecha diagnostica,rubeola,2004-02-01,1,0,0,0,0,1
20101,LA PAZ,sospecha diagnostica,rubeola,2004-02-01,1,1,0,0,0,2
90501,NUEVO MANOA (NUEVA ESPERANZA),sospecha diagnostica,rubeola,2004-02-01,0,1,0,0,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rubeola,2004-02-01,1,0,0,0,0,1
60101,TARIJA,sospecha diagnostica,rubeola,2004-02-01,0,1,0,0,0,1
50802,ATOCHA,sospecha diagnostica,rubeola,2004-03-01,0,1,0,0,0,1
30101,COCHABAMBA,sospecha diagnostica,rubeola,2004-03-01,1,0,1,0,0,2
20105,EL ALTO,sospecha diagnostica,rubeola,2004-03-01,0,1,0,0,0,1
70104,LA GUARDIA,sospecha diagnostica,rubeola,2004-03-01,0,1,0,0,0,1
20101,LA PAZ,sospecha diagnostica,rubeola,2004-03-01,1,0,0,2,0,3
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rubeola,2004-03-01,1,0,1,0,0,2
20803,TIAWANACU,sospecha diagnostica,rubeola,2004-03-01,0,0,1,0,0,1
30101,COCHABAMBA,sospecha diagnostica,rubeola,2004-04-01,1,0,0,0,0,1
20101,LA PAZ,sospecha diagnostica,rubeola,2004-04-01,1,1,2,1,0,5
40101,ORURO,sospecha diagnostica,rubeola,2004-04-01,0,0,1,0,0,1
60101,TARIJA,sospecha diagnostica,rubeola,2004-04-01,0,0,0,1,0,1
30802,TOCO,sospecha diagnostica,rubeola,2004-04-01,1,0,0,0,0,1
30101,COCHABAMBA,sospecha diagnostica,rubeola,2004-05-01,0,0,1,0,0,1
