codigo_municipio,municipio,grupo,variable,mes,hombres menores a 1 año,mujeres menores a 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 14 años,mujeres de 5 a 14 años,hombres de 15 a 59 años,mujeres de 15 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,hombres total,mujeres total,total
20701,APOLO,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
20503,AUCAPATA,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
60202,BERMEJO,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,1,,0,0.0,0,0.0,1,,
70401,BUENA VISTA,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
20905,CAIROMA,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,2,,0,0.0,2,,
51102,"CAIZA ""D""",infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,1,,0,0.0,0,0.0,1,,
22001,CARANAVI,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,3,,0,0.0,3,,
40201,CHALLAPATA,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,3,,0,0.0,3,,
30101,COCHABAMBA,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,1,0.0,13,0.0,0,0.0,14,,
30905,COLCAPIRHUA,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
50401,COLQUECHACA,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
21306,COLQUENCHA,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,2,0.0,1,0.0,3,,
71106,CUATRO CAÑADAS,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,2,,0,0.0,2,,
20105,EL ALTO,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,53,0.0,4,0.0,57,,
70105,EL TORNO,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,17,,0,0.0,17,,
60601,ENTRE RIOS,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
60601,ENTRE RIOS,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
80202,GUAYARAMERIN,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,2,,0,0.0,2,,
20101,LA PAZ,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,24,,0,0.0,24,,
11003,MACHARETI,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,3,0.0,1,0.0,4,,
31301,MIZQUE,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,4,,0,0.0,4,,
10501,MONTEAGUDO,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
71001,MONTERO,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,0.0,1,0.0,2,,
70803,MORO MORO,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
30302,MOROCHATA,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,9,,0,0.0,9,,
50404,OCURI,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
70202,OKINAWA,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,2,,0,0.0,2,,
40101,ORURO,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,9,,0,0.0,9,,
70502,PAILON,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
31202,POJO (CBBA),infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
50101,POTOSI,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,1,0.0,8,0.0,0,0.0,9,,
20403,PUERTO CARABUCO,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
21204,PUERTO PEREZ,infec de transmision sexual,mujer con ulcera genital,2005-01-01,0,0,0,0,0,0.0,1,,0,0.0,1,,
