codigo_municipio,municipio,grupo,variable,mes,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
30101,COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-01-01,1,1,0,0,0,2
20105,EL ALTO,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,0,1,0,0,1
40701,HUANUNI,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,0,1,0,0,1
71001,MONTERO,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,1,0,1,0,2
40101,ORURO,sospecha diagnostica,sarampion / rubeola,2005-01-01,1,0,2,0,0,3
70902,PAMPA GRANDE,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,0,1,0,0,1
70601,PORTACHUELO,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,0,0,1,0,1
50101,POTOSI,sospecha diagnostica,sarampion / rubeola,2005-01-01,1,0,0,0,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-01-01,1,1,1,0,0,3
10101,SUCRE,sospecha diagnostica,sarampion / rubeola,2005-01-01,0,0,1,0,0,1
60101,TARIJA,sospecha diagnostica,sarampion / rubeola,2005-01-01,1,0,0,0,0,1
70401,BUENA VISTA,sospecha diagnostica,sarampion / rubeola,2005-02-01,0,0,0,1,0,1
30101,COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-02-01,0,2,0,0,0,2
10501,MONTEAGUDO,sospecha diagnostica,sarampion / rubeola,2005-02-01,1,0,0,0,0,1
30901,QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2005-02-01,1,0,0,0,0,1
60101,TARIJA,sospecha diagnostica,sarampion / rubeola,2005-02-01,1,0,0,0,0,1
30101,COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-03-01,1,0,0,1,0,2
41601,HUAYLLAMARCA,sospecha diagnostica,sarampion / rubeola,2005-03-01,0,0,1,0,0,1
10501,MONTEAGUDO,sospecha diagnostica,sarampion / rubeola,2005-03-01,1,2,0,0,0,3
40101,ORURO,sospecha diagnostica,sarampion / rubeola,2005-03-01,0,0,2,0,0,2
51101,PUNA,sospecha diagnostica,sarampion / rubeola,2005-03-01,1,0,0,0,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-03-01,0,1,1,0,0,2
60401,URIONDO (A. CONCEPCION),sospecha diagnostica,sarampion / rubeola,2005-03-01,22,0,0,0,0,22
60302,CARAPARI,sospecha diagnostica,sarampion / rubeola,2005-04-01,1,0,0,0,0,1
30101,COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-04-01,2,0,1,0,0,3
20105,EL ALTO,sospecha diagnostica,sarampion / rubeola,2005-04-01,1,0,0,0,0,1
70903,MAIRANA,sospecha diagnostica,sarampion / rubeola,2005-04-01,0,0,0,1,0,1
50101,POTOSI,sospecha diagnostica,sarampion / rubeola,2005-04-01,0,0,1,0,0,1
30901,QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2005-04-01,1,0,0,0,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-04-01,0,0,1,0,0,1
10101,SUCRE,sospecha diagnostica,sarampion / rubeola,2005-04-01,0,0,1,0,0,1
70401,BUENA VISTA,sospecha diagnostica,sarampion / rubeola,2005-05-01,0,1,0,0,0,1
60302,CARAPARI,sospecha diagnostica,sarampion / rubeola,2005-05-01,0,1,0,0,0,1
40701,HUANUNI,sospecha diagnostica,sarampion / rubeola,2005-05-01,0,0,1,0,0,1
20101,LA PAZ,sospecha diagnostica,sarampion / rubeola,2005-05-01,0,0,1,0,0,1
30901,QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2005-05-01,0,1,0,0,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-05-01,0,0,2,0,0,2
20105,EL ALTO,sospecha diagnostica,sarampion / rubeola,2005-06-01,1,0,0,0,0,1
80202,GUAYARAMERIN,sospecha diagnostica,sarampion / rubeola,2005-06-01,0,0,0,1,0,1
20101,LA PAZ,sospecha diagnostica,sarampion / rubeola,2005-06-01,0,0,1,0,0,1
71001,MONTERO,sospecha diagnostica,sarampion / rubeola,2005-06-01,0,0,1,0,0,1
40101,ORURO,sospecha diagnostica,sarampion / rubeola,2005-06-01,0,0,1,0,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-06-01,0,0,2,0,0,2
10101,SUCRE,sospecha diagnostica,sarampion / rubeola,2005-06-01,0,0,0,1,0,1
60101,TARIJA,sospecha diagnostica,sarampion / rubeola,2005-06-01,1,1,0,0,0,2
40101,ORURO,sospecha diagnostica,sarampion / rubeola,2005-07-01,0,1,0,0,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-07-01,0,1,0,0,0,1
60202,BERMEJO,sospecha diagnostica,sarampion / rubeola,2005-08-01,0,0,1,0,0,1
50301,BETANZOS,sospecha diagnostica,sarampion / rubeola,2005-08-01,1,0,0,0,0,1
30101,COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-08-01,0,2,1,0,0,3
31002,COLOMI,sospecha diagnostica,sarampion / rubeola,2005-08-01,0,0,1,0,0,1
71002,GENERAL SAAVEDRA,sospecha diagnostica,sarampion / rubeola,2005-08-01,0,0,1,0,0,1
80202,GUAYARAMERIN,sospecha diagnostica,sarampion / rubeola,2005-08-01,0,1,2,1,0,4
41601,HUAYLLAMARCA,sospecha diagnostica,sarampion / rubeola,2005-08-01,0,0,1,0,0,1
10501,MONTEAGUDO,sospecha diagnostica,sarampion / rubeola,2005-08-01,1,1,0,0,0,2
40101,ORURO,sospecha diagnostica,sarampion / rubeola,2005-08-01,0,0,1,0,0,1
50101,POTOSI,sospecha diagnostica,sarampion / rubeola,2005-08-01,0,2,0,0,0,2
80501,SAN IGNACIO,sospecha diagnostica,sarampion / rubeola,2005-08-01,0,1,0,0,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-08-01,2,0,0,0,0,2
31601,TIRAQUE (CBBA),sospecha diagnostica,sarampion / rubeola,2005-08-01,1,0,0,0,0,1
80101,TRINIDAD,sospecha diagnostica,sarampion / rubeola,2005-08-01,0,1,0,0,0,1
30904,VINTO,sospecha diagnostica,sarampion / rubeola,2005-08-01,1,0,0,0,0,1
30101,COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-09-01,1,0,1,0,0,2
20105,EL ALTO,sospecha diagnostica,sarampion / rubeola,2005-09-01,0,0,0,1,0,1
10501,MONTEAGUDO,sospecha diagnostica,sarampion / rubeola,2005-09-01,0,1,0,0,0,1
30901,QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2005-09-01,0,1,0,0,0,1
31001,SACABA,sospecha diagnostica,sarampion / rubeola,2005-09-01,1,0,0,0,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2005-09-01,1,0,0,0,0,1
10101,SUCRE,sospecha diagnostica,sarampion / rubeola,2005-09-01,0,1,1,0,0,2
10601,TARABUCO,sospecha diagnostica,sarampion / rubeola,2005-09-01,0,0,5,0,0,5
30101,COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2005-10-01,0,0,1,0,0,1
20105,EL ALTO,sospecha diagnostica,sarampion / rubeola,2005-10-01,0,1,1,0,0,2
41601,HUAYLLAMARCA,sospecha diagnostica,sarampion / rubeola,2005-10-01,0,0,1,1,0,2
20101,LA PAZ,sospecha diagnostica,sarampion / rubeola,2005-10-01,2,2,0,0,0,4
71001,MONTERO,sospecha diagnostica,sarampion / rubeola,2005-10-01,2,0,0,0,0,2
40101,ORURO,sospecha diagnostica,sarampion / rubeola,2005-10-01,0,2,0,0,0,2
30901,QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2005-10-01,2,0,1,0,0,3
