codigo_municipio,municipio,grupo,variable,mes,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
51302,ACACIO,otras infecciones,enfermedad  diarreica aguda,2006-01-01,13,0.0,50,0.0,2,0,3,0.0,3,0.0,71,,
20201,ACHACACHI,otras infecciones,enfermedad  diarreica aguda,2006-01-01,33,0.0,78,0.0,8,0,21,0.0,9,0.0,149,,
20104,ACHOCALLA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,6,0.0,10,0.0,0,0,0,0.0,0,0.0,16,,
30201,AIQUILE,otras infecciones,enfermedad  diarreica aguda,2006-01-01,36,0.0,72,0.0,15,0,21,0.0,10,0.0,154,,
31303,ALALAY,otras infecciones,enfermedad  diarreica aguda,2006-01-01,3,0.0,6,0.0,0,0,0,0.0,0,0.0,9,,
10404,ALCALA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,20,0.0,38,0.0,3,0,8,0.0,2,0.0,71,,
20202,ANCORAIMES,otras infecciones,enfermedad  diarreica aguda,2006-01-01,11,0.0,55,0.0,1,0,8,0.0,9,0.0,84,,
41201,ANDAMARCA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,2,0.0,21,0.0,2,0,3,0.0,4,0.0,32,,
40603,ANTEQUERA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,3,0.0,1,0.0,3,0,3,0.0,1,0.0,11,,
30402,ANZALDO,otras infecciones,enfermedad  diarreica aguda,2006-01-01,8,0.0,28,0.0,2,0,2,0.0,0,0.0,40,,
20701,APOLO,otras infecciones,enfermedad  diarreica aguda,2006-01-01,34,0.0,63,0.0,7,0,11,0.0,4,0.0,119,,
51301,ARAMPAMPA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,10,0.0,42,0.0,1,0,2,0.0,2,0.0,57,,
30501,ARANI,otras infecciones,enfermedad  diarreica aguda,2006-01-01,7,0.0,24,0.0,1,0,5,0.0,2,0.0,39,,
30403,ARBIETO,otras infecciones,enfermedad  diarreica aguda,2006-01-01,2,0.0,25,0.0,1,0,3,0.0,0,0.0,31,,
30601,ARQUE,otras infecciones,enfermedad  diarreica aguda,2006-01-01,19,0.0,42,0.0,1,0,7,0.0,2,0.0,71,,
71501,ASCENCION DE GUARAYOS,otras infecciones,enfermedad  diarreica aguda,2006-01-01,54,0.0,71,0.0,11,0,20,0.0,1,0.0,157,,
50802,ATOCHA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,32,0.0,124,0.0,55,0,98,0.0,11,0.0,320,,
20503,AUCAPATA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,6,0.0,19,0.0,2,0,1,0.0,3,0.0,31,,
20502,AYATA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,21,0.0,45,0.0,2,0,1,0.0,3,0.0,72,,
21303,AYO AYO,otras infecciones,enfermedad  diarreica aguda,2006-01-01,10,0.0,5,0.0,2,0,7,0.0,1,0.0,25,,
30301,AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,enfermedad  diarreica aguda,2006-01-01,44,0.0,114,0.0,6,0,9,0.0,2,0.0,175,,
10201,AZURDUY,otras infecciones,enfermedad  diarreica aguda,2006-01-01,68,0.0,182,0.0,9,0,34,0.0,3,0.0,296,,
21203,BATALLAS,otras infecciones,enfermedad  diarreica aguda,2006-01-01,8,0.0,20,0.0,4,0,6,0.0,0,0.0,38,,
80802,BAURES,otras infecciones,enfermedad  diarreica aguda,2006-01-01,5,0.0,16,0.0,2,0,5,0.0,2,0.0,30,,
41202,BELEN DE ANDAMARCA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,2,0.0,3,0.0,0,0,5,0.0,3,0.0,13,,
50104,BELEN DE URMIRI,otras infecciones,enfermedad  diarreica aguda,2006-01-01,3,0.0,20,0.0,1,0,3,0.0,3,0.0,30,,
90104,BELLA FLOR,otras infecciones,enfermedad  diarreica aguda,2006-01-01,1,0.0,5,0.0,2,0,1,0.0,0,0.0,9,,
60202,BERMEJO,otras infecciones,enfermedad  diarreica aguda,2006-01-01,94,0.0,107,0.0,34,0,52,0.0,14,0.0,301,,
50301,BETANZOS,otras infecciones,enfermedad  diarreica aguda,2006-01-01,50,0.0,188,0.0,16,0,41,0.0,22,0.0,317,,
31501,BOLIVAR,otras infecciones,enfermedad  diarreica aguda,2006-01-01,18,0.0,56,0.0,3,0,3,0.0,1,0.0,81,,
90103,BOLPEBRA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,1,0.0,11,0.0,4,0,3,0.0,3,0.0,22,,
70707,BOYUIBE,otras infecciones,enfermedad  diarreica aguda,2006-01-01,13,0.0,18,0.0,1,0,5,0.0,1,0.0,38,,
70401,BUENA VISTA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,49,0.0,53,0.0,3,0,13,0.0,3,0.0,121,,
70703,CABEZAS,otras infecciones,enfermedad  diarreica aguda,2006-01-01,82,0.0,103,0.0,25,0,46,0.0,5,0.0,261,,
20905,CAIROMA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,25,0.0,60,0.0,5,0,14,0.0,4,0.0,108,,
51102,"CAIZA ""D""",otras infecciones,enfermedad  diarreica aguda,2006-01-01,13,0.0,45,0.0,7,0,23,0.0,4,0.0,92,,
21003,CAJUATA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,33,0.0,40,0.0,14,0,12,0.0,8,0.0,107,,
20303,CALACOTO,otras infecciones,enfermedad  diarreica aguda,2006-01-01,6,0.0,16,0.0,6,0,2,0.0,7,0.0,37,,
21304,CALAMARCA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,14,0.0,66,0.0,4,0,9,0.0,3,0.0,96,,
10701,CAMARGO,otras infecciones,enfermedad  diarreica aguda,2006-01-01,60,0.0,118,0.0,24,0,55,0.0,37,0.0,294,,
10901,CAMATAQUI (C. VILLA ABECIA),otras infecciones,enfermedad  diarreica aguda,2006-01-01,5,0.0,36,0.0,5,0,17,0.0,5,0.0,68,,
70706,CAMIRI,otras infecciones,enfermedad  diarreica aguda,2006-01-01,98,0.0,183,0.0,45,0,78,0.0,63,0.0,467,,
30701,CAPINOTA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,61,0.0,121,0.0,15,0,40,0.0,10,0.0,247,,
20302,CAQUIAVIRI,otras infecciones,enfermedad  diarreica aguda,2006-01-01,3,0.0,14,0.0,4,0,4,0.0,7,0.0,32,,
40102,CARACOLLO,otras infecciones,enfermedad  diarreica aguda,2006-01-01,19,0.0,48,0.0,10,0,10,0.0,11,0.0,98,,
22001,CARANAVI,otras infecciones,enfermedad  diarreica aguda,2006-01-01,70,0.0,140,0.0,13,0,40,0.0,12,0.0,275,,
41503,CARANGAS,otras infecciones,enfermedad  diarreica aguda,2006-01-01,1,0.0,1,0.0,6,0,0,0.0,1,0.0,9,,
60302,CARAPARI,otras infecciones,enfermedad  diarreica aguda,2006-01-01,36,0.0,56,0.0,18,0,19,0.0,8,0.0,137,,
50702,CARIPUYO,otras infecciones,enfermedad  diarreica aguda,2006-01-01,29,0.0,110,0.0,2,0,11,0.0,0,0.0,152,,
71403,CARMEN RIVERO TORREZ,otras infecciones,enfermedad  diarreica aguda,2006-01-01,10,0.0,14,0.0,1,0,0,0.0,1,0.0,26,,
21803,CHACARILLA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,0,0.0,3,,0,0,0,0.0,0,0.0,3,,
40201,CHALLAPATA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,58,0.0,97,0.0,14,0,21,0.0,14,0.0,204,,
50302,CHAQUI,otras infecciones,enfermedad  diarreica aguda,2006-01-01,17,0.0,59,0.0,1,0,5,0.0,1,0.0,83,,
70702,CHARAGUA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,56,0.0,138,0.0,10,0,22,0.0,7,0.0,233,,
20305,CHARAÑA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,2,0.0,2,0.0,1,0,5,0.0,0,0.0,10,,
50202,CHAYANTA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,42,0.0,79,0.0,5,0,16,0.0,4,0.0,146,,
31204,CHIMORE,otras infecciones,enfermedad  diarreica aguda,2006-01-01,90,0.0,99,0.0,5,0,19,0.0,0,0.0,213,,
40903,CHIPAYA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,9,0.0,5,0.0,2,0,4,0.0,3,0.0,23,,
40302,CHOQUE COTA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,1,0.0,2,0.0,2,0,6,0.0,1,0.0,12,,
21101,CHULUMANI (V. DE LA LIBERTAD),otras infecciones,enfermedad  diarreica aguda,2006-01-01,22,0.0,51,0.0,4,0,7,0.0,3,0.0,87,,
20501,CHUMA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,18,0.0,48,0.0,5,0,7,0.0,1,0.0,79,,
30801,CLIZA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,19,0.0,24,0.0,4,0,7,0.0,2,0.0,56,,
90101,COBIJA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,60,0.0,99,0.0,10,0,19,0.0,4,0.0,192,,
30101,COCHABAMBA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,1010,0.0,1567,0.0,522,0,731,0.0,222,0.0,4052,,
30905,COLCAPIRHUA,otras infecciones,enfermedad  diarreica aguda,2006-01-01,29,0.0,62,0.0,16,0,3,0.0,3,0.0,113,,
