codigo_municipio,municipio,grupo,variable,mes,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
10501,MONTEAGUDO,sospecha diagnostica,leptospirosis,2010-01-01,0,0,1,0,2,1,4
31003,VILLA TUNARI,sospecha diagnostica,leptospirosis,2010-01-01,0,0,0,0,3,0,3
71503,EL PUENTE(STC),sospecha diagnostica,leptospirosis,2010-02-01,0,0,0,0,5,0,5
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2010-02-01,0,0,0,0,1,0,1
31003,VILLA TUNARI,sospecha diagnostica,leptospirosis,2010-02-01,0,0,0,0,2,0,2
30101,COCHABAMBA,sospecha diagnostica,leptospirosis,2010-03-01,0,0,0,0,1,0,1
80304,RURRENABAQUE,sospecha diagnostica,leptospirosis,2010-03-01,0,0,0,0,1,0,1
71301,COMARAPA,sospecha diagnostica,leptospirosis,2010-04-01,0,0,1,0,0,0,1
71104,SAN JULIAN,sospecha diagnostica,leptospirosis,2010-04-01,0,0,0,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2010-04-01,0,0,0,0,3,0,3
30101,COCHABAMBA,sospecha diagnostica,leptospirosis,2010-05-01,0,0,0,0,0,1,1
70105,EL TORNO,sospecha diagnostica,leptospirosis,2010-06-01,0,0,0,0,1,0,1
70801,VALLEGRANDE,sospecha diagnostica,leptospirosis,2010-06-01,0,0,0,0,1,0,1
80302,SAN BORJA,sospecha diagnostica,leptospirosis,2010-07-01,0,0,1,0,0,0,1
70403,YAPACANI,sospecha diagnostica,leptospirosis,2010-08-01,0,0,0,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2010-09-01,0,0,0,0,0,1,1
70105,EL TORNO,sospecha diagnostica,leptospirosis,2010-10-01,0,0,0,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2010-10-01,0,0,0,0,2,0,2
31003,VILLA TUNARI,sospecha diagnostica,leptospirosis,2010-11-01,0,0,0,0,2,0,2
10501,MONTEAGUDO,sospecha diagnostica,leptospirosis,2010-12-01,0,0,0,1,0,0,1
