codigo_municipio,municipio,grupo,variable,mes,de-1-ano_masculino,de-1-ano-1_femenino,1-a-4-anos_masculino,1-a-4-anos-1_femenino,5-a-9-anos_masculino,5-a-9-anos-1_femenino,10-a-20-anos_masculino,10-a-20-anos-1_femenino,21-a-59-anos_masculino,21-a-59-anos-1_femenino,60-y-mas_masculino,60-y-mas-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
41201,ANDAMARCA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
60202,BERMEJO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,1,0,5,5,0,1,6,6,12
70706,CAMIRI,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,1,3,2,7,8,9,0,1,11,20,31
40201,CHALLAPATA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,1,0,1,0,5,1,0,0,7,1,8
31204,CHIMORE,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
30101,COCHABAMBA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
31002,COLOMI,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,1,7,1,1,0,8,2,10
70603,COLPA BELGICA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
71301,COMARAPA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
21701,COPACABANA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
21401,COROICO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
70102,COTOCA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,2,1,0,4,1,1,0,6,3,9
20105,EL ALTO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,3,1,1,1,2,0,7,4,21,5,2,1,36,12,48
70105,EL TORNO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
31206,ENTRE RIOS CBBA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,1,0,3,0,2,0,0,0,6,0,6
40701,HUANUNI,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,1,1,0,2,3,4,2,0,7,7,14
21102,IRUPANA (VILLA DE LANZA),"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
70104,LA GUARDIA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,1,1,4,0,7,2,1,2,14,5,19
20101,LA PAZ,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,0,0,1,0,1,0,0,1,3,1,4
70903,MAIRANA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
71003,MINEROS,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,2,0,0,0,0,2,0,0,0,2,2,4
71001,MONTERO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,2,1,10,7,20,12,4,1,36,21,57
40101,ORURO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,1,0,0,1,1,1,5,3,2,0,0,5,9,14
60201,PADCAYA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
21104,PALOS BLANCOS,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,0,0,0,1,1,1,0,0,2,2,4
21305,PATACAMAYA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
70103,PORONGO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
31205,PUERTO VILLARROEL,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,0,0,0,0,0,3,0,0,1,3,4
80201,RIBERALTA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,1,1,2,0,8,5,1,2,13,8,21
80304,RURRENABAQUE,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,0,0,1,0,4,0,0,0,6,0,6
40901,SABAYA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
31001,SACABA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,2,0,4,8,12,9,1,2,19,19,38
70301,SAN IGNACIO DE VELASCO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,0,1,0,6,2,10,6,0,0,18,8,26
10702,SAN LUCAS,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
70302,SAN MIGUEL DE VELASCO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,1,0,0,2,0,0,0,2,1,3
71005,SAN PEDRO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,1,0,0,2,0,0,0,0,0,2,1,3
70101,SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,1,0,0,0,5,6,11,0,25,9,0,0,42,15,57
20902,SAPAHAQUI,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
21301,SICA SICA (VILLA AROMA),"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
20601,SORATA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
10101,SUCRE,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,1,2,1,0,6,3,30,18,1,2,39,25,64
10601,TARABUCO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
20807,TARACO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
60101,TARIJA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,1,2,1,10,5,23,9,0,2,35,18,53
20606,TIPUANI,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
41001,TOLEDO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
10402,TOMINA,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
40402,TURCO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
60303,VILLA MONTES,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,0,1,0,1,1,1,3,0,0,3,4,7
31402,VILLA RIVERO,"violencia, hechos de transito y accidentes",hechos de transito,2010-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
