codigo_municipio,municipio,grupo,variable,mes,hombres de 1 año,mujeres de 1 año,hombres de 1 a 4 años,mujeres de 1 a 4 años,hombres de 5 a 9 años,mujeres de 5 a 9 años,hombres de 10 a 20 años,mujeres de 10 a 20 años,hombres de 21 a 59 años,mujeres de 21 a 59 años,hombres de 60 y más años,mujeres de 60 y más años,hombres total,mujeres total,total
70706,CAMIRI,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
22001,CARANAVI,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,1,0,0,2,1,0,1,0,3,2,5
60302,CARAPARI,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3
70702,CHARAGUA,otras infecciones,malaria confirmados,2011-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
90101,COBIJA,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
71301,COMARAPA,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
21401,COROICO,otras infecciones,malaria confirmados,2011-01-01,0,0,0,1,2,0,1,1,2,1,1,0,6,3,9
70105,EL TORNO,otras infecciones,malaria confirmados,2011-01-01,0,0,8,1,2,1,3,2,14,4,0,0,27,8,35
60601,ENTRE RIOS TRJ,otras infecciones,malaria confirmados,2011-01-01,0,0,1,0,1,1,0,0,0,0,0,0,2,1,3
31206,ENTRE RIOS CBBA,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
90503,EUREKA (SANTOS MERCADO),otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,1,1,2,1,0,0,3,2,5
21601,GRAL. J.J. PEREZ (CHARAZANI),otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3
20602,GUANAY,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
80202,GUAYARAMERIN,otras infecciones,malaria confirmados,2011-01-01,0,1,0,1,6,7,16,22,37,47,1,0,60,78,138
70104,LA GUARDIA,otras infecciones,malaria confirmados,2011-01-01,0,0,1,0,1,0,1,0,1,0,0,0,4,0,4
20101,LA PAZ,otras infecciones,malaria confirmados,2011-01-01,0,0,1,3,0,0,3,4,3,2,3,0,10,9,19
20607,MAPIRI,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
31301,MIZQUE,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,1,0,2,0,2,0,0,0,5,5
10501,MONTEAGUDO,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,2,0,2,1,0,0,4,1,5
71001,MONTERO,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,2,1,1,0,0,0,3,1,4
90401,NACEBE (SANTA ROSA DEL ABUNA),otras infecciones,malaria confirmados,2011-01-01,0,0,1,0,0,0,3,2,7,4,0,0,11,6,17
90501,NUEVO MANOA (NUEVA ESPERANZA),otras infecciones,malaria confirmados,2011-01-01,0,0,0,1,2,0,2,1,2,6,0,0,6,8,14
30203,OMEREQUE,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
10401,PADILLA,otras infecciones,malaria confirmados,2011-01-01,0,0,0,1,0,1,1,0,0,0,0,1,1,3,4
21104,PALOS BLANCOS,otras infecciones,malaria confirmados,2011-01-01,0,0,0,0,0,0,0,1,3,0,0,0,3,1,4
70103,PORONGO,otras infecciones,malaria confirmados,2011-01-01,0,0,1,0,0,2,1,1,0,0,0,0,2,3,5
