codigo_municipio,municipio,grupo,variable,mes,TOTAL
30801,CLIZA,eventos - notificacion inmediata parte ii,inundacion,2017-01-01,1.0
31204,CHIMORE,eventos - notificacion inmediata parte ii,inundacion,2017-03-01,192.0
20602,GUANAY,eventos - notificacion inmediata parte ii,inundacion,2017-03-01,726.0
11003,MACHARETI,eventos - notificacion inmediata parte ii,inundacion,2017-03-01,416.0
60303,VILLA MONTES,eventos - notificacion inmediata parte ii,inundacion,2017-03-01,11.0
31003,VILLA TUNARI,eventos - notificacion inmediata parte ii,inundacion,2017-03-01,898.0
21104,PALOS BLANCOS,eventos - notificacion inmediata parte ii,inundacion,2017-04-01,521.0
80101,TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2017-04-01,370.0
60303,VILLA MONTES,eventos - notificacion inmediata parte ii,inundacion,2017-04-01,31.0
20607,MAPIRI,eventos - notificacion inmediata parte ii,inundacion,2017-10-01,11.0
20607,MAPIRI,eventos - notificacion inmediata parte ii,inundacion,2017-11-01,11.0
31204,CHIMORE,eventos - notificacion inmediata parte ii,inundacion,2017-12-01,61.0
10304,ICLA,eventos - notificacion inmediata parte ii,inundacion,2017-12-01,11.0
80304,RURRENABAQUE,eventos - notificacion inmediata parte ii,inundacion,2017-12-01,151.0
80101,TRINIDAD,eventos - notificacion inmediata parte ii,inundacion,2017-12-01,1.0
